Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
1,19.5,-38.5,-30.5,4.253947932240524,4728
1a,9.5,-50.5,-26.5,3.9198756586647963,
1b,-12.5,-48.5,-28.5,3.1799921707848884,
1c,-10.5,-56.5,-28.5,3.1072401068826316,
2,21.5,-38.5,53.5,3.6350786472115666,304
3,7.5,-20.5,-44.5,3.3096458948126815,200
4,19.5,-10.5,49.5,2.9630574889211574,272
5,-6.5,-46.5,-50.5,2.910076388989673,688
5a,5.5,-44.5,-48.5,2.1959254094529466,
6,-6.5,39.5,17.5,2.774978551735663,672
6a,-4.5,27.5,21.5,2.501450199459219,
6b,-14.5,39.5,17.5,2.353865598590507,
7,-32.5,9.5,-14.5,2.7591027184651145,176
8,-6.5,-14.5,-4.5,2.708624146805427,1400
8a,-0.5,-26.5,3.5,2.6576484163103418,
8b,7.5,-12.5,-2.5,2.6259797429628606,
8c,-6.5,-8.5,-6.5,2.4574409632714,
9,23.5,43.5,13.5,2.6879599233052356,168
10,-36.5,-48.5,-34.5,2.64806764672641,680
10a,-22.5,-50.5,-46.5,2.3198292628119472,
10b,-26.5,-50.5,-38.5,2.2831019087027973,
10c,-12.5,-52.5,-50.5,2.234945862416043,
11,21.5,43.5,-14.5,2.635227232796853,128
12,35.5,-54.5,-38.5,2.6226444836880978,144
13,13.5,29.5,23.5,2.555193298559319,96
14,-12.5,-32.5,-34.5,2.5418983931222026,184
15,35.5,-24.5,31.5,2.540707616440178,128
16,19.5,17.5,3.5,2.5326899258539015,128
17,-8.5,79.5,7.5,2.509280562827443,96
18,-22.5,-58.5,-34.5,2.5067380760844804,128
19,21.5,-42.5,-52.5,2.45395260819416,96
20,-18.5,-10.5,43.5,2.413066433303996,208
21,3.5,-8.5,-24.5,2.3901035033736004,80
22,-22.5,29.5,21.5,2.3795563769937833,184
23,-4.5,19.5,9.5,2.260079326230972,88
36,-14.5,-52.5,25.5,-4.108911436507123,15856
36a,7.5,-48.5,23.5,-3.8310713738668385,
36b,-8.5,-50.5,25.5,-3.5887035456113976,
36c,-4.5,-56.5,29.5,-3.5629737419077614,
37,-54.5,5.5,-30.5,-3.9000861304683934,11376
37a,-46.5,5.5,-42.5,-3.3714939050835104,
37b,-58.5,-4.5,-32.5,-3.348966384627532,
37c,-44.5,15.5,-32.5,-3.3035087124769804,
38,35.5,15.5,-36.5,-3.876205657405729,6160
38a,31.5,17.5,-22.5,-3.4089106031485557,
38b,41.5,23.5,-30.5,-3.330726869996346,
38c,27.5,7.5,-36.5,-3.2265960151103013,
39,-64.5,-34.5,-8.5,-3.613620400181636,3328
39a,-64.5,-42.5,-10.5,-3.415939780143316,
39b,-62.5,-52.5,-10.5,-3.1780964471444406,
39c,-56.5,-46.5,-14.5,-3.157144669913802,
40,59.5,-60.5,25.5,-3.581948532954097,3360
40a,49.5,-50.5,25.5,-3.1034509902158365,
40b,61.5,-56.5,21.5,-3.0455072403350356,
40c,57.5,-64.5,21.5,-2.9796792425711733,
41,13.5,63.5,17.5,-3.5574188534312903,14048
41a,5.5,67.5,-0.5,-3.365363356461157,
41b,-10.5,69.5,9.5,-3.358107863018713,
41c,13.5,63.5,-0.5,-3.29390991260585,
42,7.5,-72.5,55.5,-3.5066838990764087,5992
42a,-6.5,-56.5,67.5,-3.225769436843353,
42b,-2.5,-64.5,55.5,-3.0926747201585414,
42c,-8.5,-72.5,59.5,-3.0758593544380224,
43,-36.5,-56.5,25.5,-3.471752498428862,6992
43a,-44.5,-46.5,21.5,-3.2202333630314754,
43b,-54.5,-56.5,27.5,-3.190204770736272,
43c,-40.5,-50.5,23.5,-3.149268260737997,
44,-50.5,1.5,53.5,-3.4520777208968347,1360
44a,-52.5,13.5,45.5,-2.8438114358996165,
44b,-56.5,-8.5,49.5,-2.7659395676736898,
44c,-46.5,-10.5,57.5,-2.6178834248266782,
45,-42.5,47.5,-2.5,-3.451730255497277,2824
45a,-46.5,33.5,-16.5,-3.2806150527220073,
45b,-42.5,37.5,-6.5,-2.4405500978784676,
45c,-30.5,41.5,1.5,-2.425429517016562,
46,45.5,1.5,59.5,-3.417406666615543,1664
47,-16.5,-20.5,33.5,-3.412993722296476,368
48,35.5,-62.5,-54.5,-3.3966571557837946,1112
49,-6.5,45.5,-20.5,-3.3180349417286394,4784
49a,3.5,37.5,-16.5,-3.10255480319788,
49b,7.5,9.5,-10.5,-3.0939054368307803,
49c,-4.5,11.5,-10.5,-3.037041807013829,
50,31.5,57.5,-6.5,-3.288166072781652,784
50a,37.5,53.5,-12.5,-2.373526397882297,
50b,47.5,51.5,-10.5,-2.3367740942339394,
50c,31.5,55.5,1.5,-2.274744683220285,
51,9.5,13.5,23.5,-3.2820416147571665,280
52,17.5,43.5,47.5,-3.277726438880061,816
52a,23.5,47.5,41.5,-2.465362933340707,
52b,25.5,37.5,47.5,-2.4641236714814925,
