Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
1,25.5,-26.5,29.5,3.3607969303603045,648
2,25.5,-16.5,45.5,3.1867196783442324,536
2a,17.5,-20.5,49.5,3.0170605734264964,
3,37.5,-8.5,5.5,2.915528373324257,248
4,11.5,-34.5,27.5,2.905221973395124,312
5,9.5,-12.5,27.5,2.9005512353714726,216
5a,7.5,-20.5,25.5,2.3581471002529613,
6,21.5,-56.5,41.5,2.8806574783971395,640
6a,23.5,-56.5,31.5,2.612339620878894,
6b,15.5,-64.5,43.5,2.578361569317484,
7,-34.5,-36.5,25.5,2.870011446518201,568
7a,-20.5,-38.5,31.5,2.7864235682246035,
7b,-30.5,-30.5,31.5,2.499984651118968,
8,35.5,21.5,-8.5,2.848810534875534,320
9,-16.5,-18.5,3.5,2.7682168046048483,208
10,-14.5,-32.5,53.5,2.736016561792641,192
11,-36.5,-52.5,33.5,2.7222715137741567,160
12,1.5,1.5,-2.5,2.655028899929863,184
13,57.5,-14.5,53.5,2.636121496732012,112
14,-40.5,9.5,-2.5,2.6230997189131315,168
15,-6.5,-34.5,25.5,2.6111341187974864,168
16,-20.5,-72.5,-4.5,2.611088557874626,576
16a,-20.5,-64.5,-2.5,2.519383098196469,
17,-6.5,-98.5,-6.5,2.603402889387423,80
18,-30.5,17.5,-18.5,2.554867660279028,256
19,-6.5,-62.5,19.5,2.55398827425605,672
19a,-6.5,-64.5,11.5,2.5012681426124237,
20,-22.5,-48.5,27.5,2.488250489057512,256
21,25.5,11.5,-40.5,2.479529020742642,120
22,15.5,-90.5,19.5,2.4568184337501022,144
23,-14.5,-76.5,35.5,2.456266460739437,408
24,-16.5,-62.5,35.5,2.414114742639983,96
25,21.5,-26.5,15.5,2.40823736343172,80
26,39.5,-26.5,31.5,2.3841606536105715,112
27,-14.5,41.5,17.5,2.348303253708265,120
28,23.5,-64.5,3.5,2.336193698332784,272
29,-0.5,-24.5,1.5,2.3339285368733234,96
30,-10.5,-50.5,-6.5,2.1662017790531487,112
31,-44.5,39.5,-10.5,2.1040254908698395,96
40,-4.5,-54.5,-62.5,-4.172441293736216,2312
40a,3.5,-54.5,-60.5,-3.5460212176869192,
40b,-10.5,-50.5,-66.5,-3.0681033991387556,
40c,3.5,-46.5,-68.5,-2.943528976760117,
41,65.5,-42.5,-10.5,-3.958382329316031,15920
41a,53.5,-20.5,-20.5,-3.713011262188443,
41b,43.5,3.5,-22.5,-3.567837394262701,
41c,59.5,-22.5,-18.5,-3.4569489302511514,
42,-34.5,-62.5,25.5,-3.876350241611527,376
43,-34.5,3.5,35.5,-3.8113842817493495,6288
43a,-26.5,19.5,31.5,-3.7580244380799486,
43b,-42.5,17.5,37.5,-3.5511456983965397,
43c,-36.5,9.5,41.5,-3.2294363437120173,
44,-42.5,-28.5,-18.5,-3.7439135820554044,2944
44a,-38.5,-4.5,-22.5,-3.093787101971316,
44b,-42.5,-12.5,-18.5,-3.0371040590029375,
44c,-18.5,-10.5,-16.5,-2.895858278722208,
45,-30.5,-26.5,5.5,-3.7194256698475368,1328
45a,-28.5,-18.5,13.5,-3.677934165190987,
46,5.5,-30.5,-44.5,-3.660556024148927,3896
46a,25.5,-44.5,-40.5,-3.391439851375609,
46b,9.5,-44.5,-38.5,-3.008153784399964,
46c,-10.5,-26.5,-48.5,-2.617102845536455,
