Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
1,23.5,-14.5,-18.5,3.8893474230294824,13352
1a,41.5,23.5,-30.5,3.5929379455022437,
1b,27.5,-30.5,-22.5,3.5757867591568893,
1c,39.5,23.5,-38.5,3.2266077873044625,
2,-14.5,-54.5,27.5,3.887147774568405,4824
2a,-4.5,-56.5,29.5,3.096292727713057,
2b,7.5,-62.5,29.5,3.0023671339740687,
2c,7.5,-48.5,23.5,2.9334693881128815,
3,-14.5,53.5,41.5,3.7975557171056398,16752
3a,-10.5,69.5,9.5,3.5453493635406548,
3b,5.5,67.5,-0.5,3.43108900719687,
3c,-14.5,41.5,51.5,3.389968355985587,
4,-64.5,-34.5,-8.5,3.6894580963501764,3968
4a,-64.5,-42.5,-10.5,3.312082848431157,
4b,-56.5,-42.5,-14.5,3.2729731943353744,
4c,-66.5,-44.5,-4.5,3.073850406934756,
5,49.5,3.5,55.5,3.624282644545022,3264
5a,39.5,-2.5,61.5,3.0798310120874985,
5b,19.5,1.5,73.5,2.9693129216485064,
5c,15.5,-2.5,57.5,2.951641690675407,
6,7.5,11.5,23.5,3.6207023291533638,416
7,-58.5,-2.5,-30.5,3.602933687019286,11176
7a,-48.5,11.5,-32.5,3.527779484554705,
7b,-68.5,-12.5,-16.5,3.095048388321739,
7c,-30.5,-0.5,-34.5,3.083467770055636,
8,-54.5,-56.5,27.5,3.56295362814566,6024
8a,-36.5,-56.5,25.5,3.390980366201253,
8b,-44.5,-46.5,21.5,3.296309537904671,
8c,-36.5,-64.5,27.5,3.182997604875001,
9,-50.5,1.5,53.5,3.5620517095039794,4264
9a,-32.5,1.5,35.5,2.7049863537331666,
9b,-32.5,-2.5,57.5,2.667605829419783,
9c,-54.5,21.5,35.5,2.646533674785778,
10,35.5,-62.5,-54.5,3.471170809196527,1936
11,63.5,-44.5,-10.5,3.4067658342792835,1640
11a,59.5,-54.5,-10.5,2.8540592766216615,
11b,55.5,-48.5,-6.5,2.7678627410736527,
11c,59.5,-56.5,-14.5,2.4574437638197035,
12,5.5,-72.5,57.5,3.362451738659995,2736
12a,-12.5,-74.5,59.5,2.8022553933758747,
12b,-2.5,-64.5,55.5,2.783553320250481,
12c,-2.5,-74.5,53.5,2.7814145671663777,
13,5.5,-56.5,-58.5,3.329622246449976,208
14,13.5,-4.5,31.5,3.3147962514715505,488
14a,13.5,-14.5,31.5,2.3920675176151804,
15,35.5,41.5,19.5,3.2781242856505646,1080
15a,47.5,33.5,17.5,2.6914669998002223,
16,-42.5,27.5,-14.5,3.2691037610143927,496
17,29.5,59.5,-4.5,3.2407590821502055,1488
17a,41.5,57.5,-10.5,2.807233584023322,
