Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
1,-16.5,-4.5,7.5,3.5963427116030817,6824
1a,-0.5,-20.5,3.5,3.586883731873065,
1b,5.5,-10.5,-4.5,3.544416428631845,
1c,-8.5,-12.5,1.5,3.1939678335325485,
2,21.5,-50.5,-40.5,3.5271113356822568,4016
2a,17.5,-38.5,-30.5,3.381014560848168,
2b,27.5,-44.5,-38.5,3.187823616721853,
2c,13.5,-38.5,-40.5,2.639632513889304,
3,-30.5,-48.5,-38.5,3.2527127714410917,2304
3a,-18.5,-40.5,-40.5,2.686860446548611,
3b,-24.5,-60.5,-34.5,2.4651446251549625,
3c,-38.5,-60.5,-34.5,2.2234559807571728,
4,-18.5,-14.5,47.5,3.2321512086409205,192
5,-12.5,-50.5,-28.5,3.1953975012489018,808
5a,-18.5,-40.5,-30.5,2.990328003935575,
6,25.5,15.5,31.5,3.1908611885159446,464
7,-22.5,5.5,29.5,3.1746288920965418,1248
7a,-18.5,-0.5,39.5,2.4466793549746075,
8,15.5,27.5,25.5,3.1705862435476457,320
9,-34.5,-40.5,7.5,3.162284092786853,104
10,17.5,17.5,3.5,3.120643568627947,368
11,35.5,1.5,31.5,2.9916933100778937,152
12,-12.5,15.5,41.5,2.9851020073117374,200
13,-28.5,43.5,-16.5,2.9538053095448396,800
13a,-20.5,57.5,-10.5,2.2945584314724075,
14,23.5,55.5,-12.5,2.9411549330807167,472
15,5.5,-20.5,-24.5,2.8605302511965864,288
16,11.5,1.5,3.5,2.824894490290118,704
17,-4.5,17.5,9.5,2.7375496012440537,640
17a,-6.5,9.5,9.5,2.5032272643060933,
18,25.5,-18.5,39.5,2.7319329671726984,104
19,-32.5,35.5,19.5,2.7262630239541337,760
19a,-28.5,23.5,25.5,2.353420276839808,
20,27.5,35.5,-12.5,2.6877516954809826,120
21,-20.5,39.5,1.5,2.637904805743141,240
22,-16.5,41.5,19.5,2.6207466590747694,280
22a,-8.5,39.5,17.5,2.322928511250092,
23,25.5,29.5,9.5,2.6029392446845288,128
24,27.5,29.5,25.5,2.594994154601935,288
25,-0.5,-22.5,-42.5,2.569235365567685,536
25a,5.5,-16.5,-42.5,2.328778984258604,
25b,-0.5,-28.5,-42.5,2.243385447306588,
26,21.5,-10.5,9.5,2.5688714845024814,520
27,-24.5,1.5,-4.5,2.474467372655266,80
28,33.5,-60.5,-34.5,2.346280122470321,96
29,13.5,41.5,25.5,2.1856197811056015,88
47,9.5,-50.5,21.5,-5.282833740227053,444456
47a,-6.5,-54.5,67.5,-4.963233748092555,
47b,59.5,-54.5,25.5,-4.79591641177142,
47c,5.5,-46.5,3.5,-4.784426224833174,
48,19.5,43.5,47.5,-4.191034792535583,1712
48a,13.5,49.5,45.5,-3.3527562218123954,
48b,23.5,35.5,33.5,-2.1961601090617844,
48c,25.5,51.5,41.5,-2.146623066400603,
49,-0.5,11.5,-10.5,-3.8146566614370245,25096
49a,5.5,69.5,1.5,-3.68471382927927,
49b,-12.5,69.5,7.5,-3.614677763778073,
49c,-6.5,45.5,-20.5,-3.5865168304084567,
50,-6.5,-66.5,-40.5,-3.6747173557619623,944
50a,-10.5,-72.5,-36.5,-2.8349978149076906,
51,7.5,31.5,49.5,-3.543491516160403,584
52,5.5,-0.5,33.5,-3.354969838301348,2312
52a,-4.5,11.5,29.5,-3.0024307958143908,
52b,13.5,-14.5,41.5,-2.6049786732770897,
53,-24.5,43.5,45.5,-3.2949633542946906,2064
53a,-22.5,51.5,41.5,-3.062440538813411,
53b,-16.5,43.5,47.5,-3.0331312331652662,
53c,-18.5,53.5,41.5,-2.87022517964003,
54,-44.5,47.5,-4.5,-3.1901687041214055,672
55,45.5,53.5,-10.5,-3.1820546130996727,912
55a,35.5,61.5,-12.5,-2.8059003458282943,
55b,49.5,53.5,-4.5,-2.4600647561847233,
56,-38.5,23.5,-26.5,-3.140045619187003,88
57,-52.5,-52.5,-34.5,-3.127153572608528,176
58,-6.5,-32.5,-52.5,-3.0834278690614094,1816
58a,-20.5,-48.5,-62.5,-3.044365093990411,
58b,-26.5,-40.5,-54.5,-3.0375010674393557,
58c,-14.5,-32.5,-52.5,-2.903764585631254,
59,57.5,-60.5,-10.5,-3.080990098844963,1936
59a,41.5,-70.5,-2.5,-2.367025267182724,
59b,45.5,-76.5,1.5,-2.203400655025092,
60,-26.5,-52.5,-60.5,-2.86556990090447,176
61,-44.5,1.5,15.5,-2.837911805121803,344
62,25.5,17.5,57.5,-2.8211208120122393,384
63,11.5,-84.5,-28.5,-2.7949830513527223,96
64,-4.5,55.5,43.5,-2.789880834875343,384
64a,-14.5,55.5,41.5,-2.5491305025461255,
64b,-10.5,49.5,47.5,-2.32447549570719,
65,-40.5,61.5,-2.5,-2.7775419959910663,240
65a,-44.5,57.5,-10.5,-2.453420899462125,
66,21.5,-20.5,27.5,-2.776524947124693,120
67,-38.5,-24.5,69.5,-2.697178863355533,144
68,-22.5,31.5,-22.5,-2.657094423534957,336
69,-24.5,5.5,69.5,-2.614815688625722,96
70,1.5,7.5,71.5,-2.604287212242024,112
71,31.5,-66.5,-54.5,-2.59844753611137,152
72,-26.5,71.5,7.5,-2.5838156899732403,88
73,3.5,-30.5,-52.5,-2.5774321680792083,240
74,1.5,-34.5,-68.5,-2.5376673880656093,176
75,-34.5,69.5,-2.5,-2.5232791430532253,208
76,-38.5,-24.5,35.5,-2.5148497313937552,184
77,-10.5,-8.5,35.5,-2.4932014125401043,512
77a,-14.5,-22.5,33.5,-2.305536046850835,
78,61.5,-58.5,5.5,-2.479795124998397,120
79,49.5,-58.5,-38.5,-2.479588201077577,88
80,25.5,33.5,-24.5,-2.4504108770059676,88
81,13.5,-34.5,-48.5,-2.4488996533169374,112
82,15.5,-12.5,29.5,-2.41714695794657,272
83,-18.5,57.5,-20.5,-2.3624134742678584,80
84,-38.5,-14.5,45.5,-2.316255177679113,160
85,35.5,-44.5,17.5,-2.291370716578724,88
86,3.5,-58.5,-44.5,-2.232763656448595,80
87,-8.5,29.5,59.5,-2.2208006132262,88
88,-22.5,17.5,47.5,-2.092482816881775,112
