subject,stage,network,coupling_z
sub-01,Wake,Vis,0.6643211896193261
sub-01,Wake,SomMot,0.20998581338087924
sub-01,Wake,DorsAttn,0.6057440383972518
sub-01,Wake,SalVentAttn,0.18854641407354253
sub-01,Wake,Limbic,-0.4712854422821563
sub-01,Wake,Cont,0.10998680796896179
sub-01,Wake,Default,0.6938192785106887
sub-01,N1,Vis,0.20621754167476358
sub-01,N1,SomMot,0.2024216526252779
sub-01,N1,DorsAttn,0.27478475661801083
sub-01,N1,SalVentAttn,0.5087302777719693
sub-01,N1,Limbic,0.1693001340377233
sub-01,N1,Cont,0.25984063655124695
sub-01,N1,Default,0.002687036227870775
sub-01,N2,Vis,0.16115148599159013
sub-01,N2,Vis,0.08465949863571692
sub-01,N2,Vis,0.5598677070162926
sub-01,N2,Vis,0.05271688420703421
sub-01,N2,Vis,-0.18263406714593963
sub-01,N2,Vis,-0.530351139711569
sub-01,N2,Vis,-0.25509299737643565
sub-01,N2,Vis,-0.0529033025514111
sub-01,N2,SomMot,-0.20167111550821878
sub-01,N2,SomMot,0.38321197039497723
sub-01,N2,SomMot,0.07525495085114506
sub-01,N2,SomMot,1.3731399678023721
sub-01,N2,SomMot,0.23641440241088035
sub-01,N2,SomMot,0.12173334450897513
sub-01,N2,SomMot,0.10978953821427395
sub-01,N2,SomMot,0.18918554177558422
sub-01,N2,DorsAttn,-0.8729887393255427
sub-01,N2,DorsAttn,0.688209818578765
sub-01,N2,DorsAttn,0.2523149935863735
sub-01,N2,DorsAttn,0.5048830247497827
sub-01,N2,DorsAttn,-0.9468494974534645
sub-01,N2,DorsAttn,0.05189134446131407
sub-01,N2,DorsAttn,0.03768306753249119
sub-01,N2,DorsAttn,0.10518242513942137
sub-01,N2,SalVentAttn,-0.005875652926165508
sub-01,N2,SalVentAttn,0.8502024304199817
sub-01,N2,SalVentAttn,0.149795188747492
sub-01,N2,SalVentAttn,0.5974646925686911
sub-01,N2,SalVentAttn,1.1622280595269219
sub-01,N2,SalVentAttn,0.2932044331192582
sub-01,N2,SalVentAttn,0.6610850125764487
sub-01,N2,SalVentAttn,0.14275050738783743
sub-01,N2,Limbic,0.3323119828602549
sub-01,N2,Limbic,-0.36885331725584947
sub-01,N2,Limbic,-0.8086947558784696
sub-01,N2,Limbic,-0.8655625008130761
sub-01,N2,Limbic,-0.39777305431538
sub-01,N2,Limbic,-0.347745080498851
sub-01,N2,Limbic,0.5540190214823211
sub-01,N2,Limbic,-0.5970579930838508
sub-01,N2,Cont,-0.5578460637251642
sub-01,N2,Cont,0.3466973782421401
sub-01,N2,Cont,0.3372543088280947
sub-01,N2,Cont,-0.12180343471350524
sub-01,N2,Cont,0.1339331034766343
sub-01,N2,Cont,0.01485670753478103
sub-01,N2,Cont,0.16950452670893212
sub-01,N2,Cont,-0.07238782312112899
sub-01,N2,Default,-0.04246435587166903
sub-01,N2,Default,-0.19035855183873718
sub-01,N2,Default,0.055404529113058334
sub-01,N2,Default,-0.3142605110911897
sub-01,N2,Default,-0.03865421336642466
sub-01,N2,Default,-0.22088666562453765
sub-01,N2,Default,0.8074870407200826
sub-01,N2,Default,-0.37214083149493365
sub-01,Wake,Vis,0.17202090990403837
sub-01,Wake,Vis,1.4058353185121584
sub-01,Wake,Vis,0.039634891265947214
sub-01,Wake,Vis,0.22398380782647231
sub-01,Wake,Vis,0.7035873387855363
sub-01,Wake,Vis,0.0745239175148917
sub-01,Wake,SomMot,0.4761121765656939
sub-01,Wake,SomMot,0.3593949908718157
sub-01,Wake,SomMot,-0.42369911702647384
sub-01,Wake,SomMot,0.6077225512734326
sub-01,Wake,SomMot,0.26642436392184443
sub-01,Wake,SomMot,-0.022490732200270255
sub-01,Wake,DorsAttn,0.6676928029276298
sub-01,Wake,DorsAttn,0.28421414548375784
sub-01,Wake,DorsAttn,-0.02499790453531284
sub-01,Wake,DorsAttn,0.7707786126054216
sub-01,Wake,DorsAttn,0.08631885145682486
sub-01,Wake,DorsAttn,0.2564035696715372
sub-01,Wake,SalVentAttn,0.6730475053563316
sub-01,Wake,SalVentAttn,0.5004962667892005
sub-01,Wake,SalVentAttn,-0.3477410739725732
sub-01,Wake,SalVentAttn,0.7512267804755722
sub-01,Wake,SalVentAttn,0.1503988742993598
sub-01,Wake,SalVentAttn,0.3666962877652292
sub-01,Wake,Limbic,0.585886009690821
sub-01,Wake,Limbic,0.18124462952995743
sub-01,Wake,Limbic,0.13515565138424934
sub-01,Wake,Limbic,0.9919115706069441
sub-01,Wake,Limbic,0.20615112065065586
sub-01,Wake,Limbic,0.8113440606914278
sub-01,Wake,Cont,0.9521695206739422
sub-01,Wake,Cont,0.5495966659935771
sub-01,Wake,Cont,0.09767507197185946
sub-01,Wake,Cont,1.377006682977194
sub-01,Wake,Cont,0.7071703892025296
sub-01,Wake,Cont,0.7390064532884877
sub-01,Wake,Default,0.6921995132382032
sub-01,Wake,Default,0.6623721735768653
sub-01,Wake,Default,0.1861810974034267
sub-01,Wake,Default,1.165281586154745
sub-01,Wake,Default,0.6484979227323475
sub-01,Wake,Default,0.31984388896589977
sub-01,N1,Vis,0.024825820250318008
sub-01,N1,Vis,0.28519689806402015
sub-01,N1,SomMot,-0.10168487479239778
sub-01,N1,SomMot,-0.6293536410628574
sub-01,N1,DorsAttn,-0.09370911394794222
sub-01,N1,DorsAttn,-0.27780374975424094
sub-01,N1,SalVentAttn,-0.17131674369196964
sub-01,N1,SalVentAttn,-0.22131332128354914
sub-01,N1,Limbic,0.6271386133602276
sub-01,N1,Limbic,0.020142549986110137
sub-01,N1,Cont,-0.06140509722103121
sub-01,N1,Cont,-0.10507776389642651
sub-01,N1,Default,-0.5119426157240584
sub-01,N1,Default,-0.3963403312655922
sub-01,N2,Vis,-0.7540572716902528
sub-01,N2,SomMot,-0.3240754060074803
sub-01,N2,DorsAttn,-0.21665718745961624
sub-01,N2,SalVentAttn,-0.04339500989517621
sub-01,N2,Limbic,-0.21503459974824604
sub-01,N2,Cont,0.2898089226459551
sub-01,N2,Default,-0.22711089711585786
sub-01,Wake,Vis,0.47030636678950755
sub-01,Wake,Vis,0.11090794112685003
sub-01,Wake,SomMot,-0.8778155186112169
sub-01,Wake,SomMot,0.05772606134431422
sub-01,Wake,DorsAttn,-0.533150196265721
sub-01,Wake,DorsAttn,0.3590993248007715
sub-01,Wake,SalVentAttn,-0.8252339995798318
sub-01,Wake,SalVentAttn,0.010710970965080495
sub-01,Wake,Limbic,0.3553817508038869
sub-01,Wake,Limbic,-0.12099571437783677
sub-01,Wake,Cont,0.6835157511624096
sub-01,Wake,Cont,-0.3213772694424756
sub-01,Wake,Default,0.384799510312203
sub-01,Wake,Default,0.051236708330601795
sub-01,N1,Vis,0.14548078532805794
sub-01,N1,Vis,0.6199501393136094
sub-01,N1,Vis,-2.5995459046391485
sub-01,N1,Vis,-0.037078400605513664
sub-01,N1,Vis,-0.17041295176178897
sub-01,N1,Vis,0.47674886463180993
sub-01,N1,SomMot,0.0925358061178275
sub-01,N1,SomMot,-1.4196844646238083
sub-01,N1,SomMot,-0.2999468205136437
sub-01,N1,SomMot,0.010616514393071952
sub-01,N1,SomMot,-0.14134446682874965
sub-01,N1,SomMot,0.8600444986930518
sub-01,N1,DorsAttn,0.2213512738896915
sub-01,N1,DorsAttn,-1.4266257180001307
sub-01,N1,DorsAttn,-1.1942886029752282
sub-01,N1,DorsAttn,-0.12358690417041852
sub-01,N1,DorsAttn,-0.28741479820940874
sub-01,N1,DorsAttn,0.16773716160141694
sub-01,N1,SalVentAttn,0.23347616836235277
sub-01,N1,SalVentAttn,-0.7128808215786648
sub-01,N1,SalVentAttn,1.8535719912575053
sub-01,N1,SalVentAttn,0.28090624130451086
sub-01,N1,SalVentAttn,0.04142119736500075
sub-01,N1,SalVentAttn,0.4939150086721318
sub-01,N1,Limbic,0.4484161417021587
sub-01,N1,Limbic,1.1706723308994975
sub-01,N1,Limbic,0.06637179923432669
sub-01,N1,Limbic,0.1234778760040693
sub-01,N1,Limbic,0.3578803818646487
sub-01,N1,Limbic,0.835123174142771
sub-01,N1,Cont,-0.07458646033119137
sub-01,N1,Cont,0.14840205524700936
sub-01,N1,Cont,0.6339824029307446
sub-01,N1,Cont,0.13628311671115848
sub-01,N1,Cont,-0.07708416716484957
sub-01,N1,Cont,0.9840838211695977
sub-01,N1,Default,0.006348842230440338
sub-01,N1,Default,0.6036796391765353
sub-01,N1,Default,-0.03715617659428329
sub-01,N1,Default,0.10954349140492649
sub-01,N1,Default,0.12923352327595136
sub-01,N1,Default,0.9526214614525421
sub-01,N2,Vis,-0.45436919279663207
sub-01,N2,Vis,0.5691774028965488
sub-01,N2,Vis,0.2322029188325898
sub-01,N2,Vis,-0.2820568468928587
sub-01,N2,Vis,0.3053673777933353
sub-01,N2,SomMot,0.12171058945825053
sub-01,N2,SomMot,1.275651641030755
sub-01,N2,SomMot,0.3088432244873481
sub-01,N2,SomMot,-0.09293439228941257
sub-01,N2,SomMot,-0.2431457991976525
sub-01,N2,DorsAttn,0.068736771875947
sub-01,N2,DorsAttn,1.0208075964488876
sub-01,N2,DorsAttn,0.12353130641908822
sub-01,N2,DorsAttn,-0.34883454178491263
sub-01,N2,DorsAttn,-0.5196598569306506
sub-01,N2,SalVentAttn,0.017018359338001793
sub-01,N2,SalVentAttn,-0.07094193533227726
sub-01,N2,SalVentAttn,0.4420385006333311
sub-01,N2,SalVentAttn,0.3952617104665962
sub-01,N2,SalVentAttn,0.06071857014153424
sub-01,N2,Limbic,-0.7837158590190467
sub-01,N2,Limbic,0.32984717300642846
sub-01,N2,Limbic,-0.31424471126285025
sub-01,N2,Limbic,-0.0478522286750719
sub-01,N2,Limbic,0.22258219823082154
sub-01,N2,Cont,-0.6604362583622716
sub-01,N2,Cont,0.2995736719864584
sub-01,N2,Cont,0.10477598033560337
sub-01,N2,Cont,-0.41989276229148925
sub-01,N2,Cont,-0.4729047994168199
sub-01,N2,Default,-0.2761081730835066
sub-01,N2,Default,0.45520154039720206
sub-01,N2,Default,-0.046534757460944105
sub-01,N2,Default,-0.5255118441748664
sub-01,N2,Default,-0.23143279497219307
sub-01,Wake,Vis,-0.03206240164375502
sub-01,Wake,Vis,-0.015380191998633932
sub-01,Wake,SomMot,0.013081307842125538
sub-01,Wake,SomMot,0.19966296544902423
sub-01,Wake,DorsAttn,0.1762745113566194
sub-01,Wake,DorsAttn,0.01828947850034832
sub-01,Wake,SalVentAttn,0.2764790935801558
sub-01,Wake,SalVentAttn,0.35578962254498137
sub-01,Wake,Limbic,0.5103984635831733
sub-01,Wake,Limbic,0.38065327539940147
sub-01,Wake,Cont,0.20725598681177737
sub-01,Wake,Cont,-0.22445221748026306
sub-01,Wake,Default,0.44135091444104196
sub-01,Wake,Default,0.03882726283892224
sub-01,N1,Vis,0.7075884170490654
sub-01,N1,Vis,-0.1735440448822834
sub-01,N1,Vis,-0.6602349557732446
sub-01,N1,SomMot,0.08618486506851032
sub-01,N1,SomMot,0.01816500974274863
sub-01,N1,SomMot,-1.0100004591457554
sub-01,N1,DorsAttn,0.03537383291517933
sub-01,N1,DorsAttn,-0.9852652510872684
sub-01,N1,DorsAttn,-0.579357196458803
sub-01,N1,SalVentAttn,0.5855043285982243
sub-01,N1,SalVentAttn,0.7325808684876988
sub-01,N1,SalVentAttn,-0.5363290186296129
sub-01,N1,Limbic,1.9938574361750236
sub-01,N1,Limbic,0.5854318449561079
sub-01,N1,Limbic,-0.6140563686672166
sub-01,N1,Cont,0.6555793891118246
sub-01,N1,Cont,-0.6884228251781631
sub-01,N1,Cont,-0.44649527648250614
sub-01,N1,Default,1.1512856586780125
sub-01,N1,Default,-0.03824127627065445
